S5129301,YEMP_STARTDATE.05~M
S5129302,YEMP_STARTDATE.05~Y
S5129401,YEMP_STARTDATE.06~M
S5129402,YEMP_STARTDATE.06~Y
S5129501,YEMP_STARTDATE.07~M
S5129502,YEMP_STARTDATE.07~Y
S5401000,CV_AGE_INT_DATE
S5412800,CV_INCOME_FAMILY
S5421000,CV_HRLY_PAY.01
S5421100,CV_HRLY_PAY.02
S5421200,CV_HRLY_PAY.03
S5421300,CV_HRLY_PAY.04
S5421400,CV_HRLY_PAY.05
S5421500,CV_HRLY_PAY.06
S5421600,CV_HRLY_PAY.07
S5421700,CV_HRLY_PAY.08
S5421800,CV_HRLY_PAY.09
S5436300,CV_URBAN-RURAL
S5931500,YEMP-58500.01
S5931600,YEMP-58500.02
S5931700,YEMP-58500.03
S5931800,YEMP-58500.04
S5931900,YEMP-58500.05
S5932000,YEMP-58500.06
S5932100,YEMP-58500.07
S5932200,YEMP-58500.08
S6209000,YEMP-101100.01
S6209100,YEMP-101100.02
S6209200,YEMP-101100.03
S6209300,YEMP-101100.04
S6209400,YEMP-101100.05
S6209500,YEMP-101100.06
S6209600,YEMP-101100.07
S6209700,YEMP-101100.08
S6209800,YEMP-101100.09
S6222100,YEMP-101200.01
S6222200,YEMP-101200.02
S6222300,YEMP-101200.03
S6222400,YEMP-101200.04
S6222500,YEMP-101200.05
S6222600,YEMP-101200.06
S6222700,YEMP-101200.07
S6222800,YEMP-101200.08
S6222900,YEMP-101200.09
S6862301,YEMP_STOPDATE.01~M
S6862302,YEMP_STOPDATE.01~Y
S6862401,YEMP_STOPDATE.02~M
S6862402,YEMP_STOPDATE.02~Y
S6862501,YEMP_STOPDATE.03~M
S6862502,YEMP_STOPDATE.03~Y
S6862601,YEMP_STOPDATE.04~M
S6862602,YEMP_STOPDATE.04~Y
S6862701,YEMP_STOPDATE.05~M
S6862702,YEMP_STOPDATE.05~Y
S6862801,YEMP_STOPDATE.06~M
S6862802,YEMP_STOPDATE.06~Y
S6862901,YEMP_STOPDATE.07~M
S6862902,YEMP_STOPDATE.07~Y
S6863001,YEMP_STOPDATE.08~M
S6863002,YEMP_STOPDATE.08~Y
S6863101,YEMP_STOPDATE.09~M
S6863102,YEMP_STOPDATE.09~Y
S6880801,YEMP_STARTDATE.01~M
S6880802,YEMP_STARTDATE.01~Y
S6880901,YEMP_STARTDATE.02~M
S6880902,YEMP_STARTDATE.02~Y
S6881001,YEMP_STARTDATE.03~M
S6881002,YEMP_STARTDATE.03~Y
S6881101,YEMP_STARTDATE.04~M
S6881102,YEMP_STARTDATE.04~Y
S6881201,YEMP_STARTDATE.05~M
S6881202,YEMP_STARTDATE.05~Y
S6881301,YEMP_STARTDATE.06~M
S6881302,YEMP_STARTDATE.06~Y
S6881401,YEMP_STARTDATE.07~M
S6881402,YEMP_STARTDATE.07~Y
S6881501,YEMP_STARTDATE.08~M
S6881502,YEMP_STARTDATE.08~Y
S6881601,YEMP_STARTDATE.09~M
S6881602,YEMP_STARTDATE.09~Y
S7501200,CV_AGE_INT_DATE
S7513700,CV_INCOME_FAMILY
S7522200,CV_HRLY_PAY.01
S7522300,CV_HRLY_PAY.02
S7522400,CV_HRLY_PAY.03
S7522500,CV_HRLY_PAY.04
S7522600,CV_HRLY_PAY.05
S7522700,CV_HRLY_PAY.06
S7522800,CV_HRLY_PAY.07
S7522900,CV_HRLY_PAY.08
S7523000,CV_HRLY_PAY.09
S7537100,CV_URBAN-RURAL
S8009500,YEMP-58500.01
S8009600,YEMP-58500.02
S8009700,YEMP-58500.03
S8009800,YEMP-58500.04
S8009900,YEMP-58500.05
S8010000,YEMP-58500.06
S8010100,YEMP-58500.07
S8010200,YEMP-58500.08
S8010300,YEMP-58500.09
S8231400,YEMP-101100.01
S8231500,YEMP-101100.02
S8231600,YEMP-101100.03
S8231700,YEMP-101100.04
S8231800,YEMP-101100.05
S8231900,YEMP-101100.06
S8232000,YEMP-101100.07
S8232100,YEMP-101100.09
S8241400,YEMP-101200.01
S8241500,YEMP-101200.02
S8241600,YEMP-101200.03
S8241700,YEMP-101200.04
S8241800,YEMP-101200.05
S8241900,YEMP-101200.06
S8242000,YEMP-101200.07
S8242100,YEMP-101200.09
S8844101,YEMP_STOPDATE.01~M
S8844102,YEMP_STOPDATE.01~Y
S8844201,YEMP_STOPDATE.02~M
S8844202,YEMP_STOPDATE.02~Y
S8844301,YEMP_STOPDATE.03~M
S8844302,YEMP_STOPDATE.03~Y
S8844401,YEMP_STOPDATE.04~M
S8844402,YEMP_STOPDATE.04~Y
S8844501,YEMP_STOPDATE.05~M
S8844502,YEMP_STOPDATE.05~Y
S8844601,YEMP_STOPDATE.06~M
S8844602,YEMP_STOPDATE.06~Y
S8844701,YEMP_STOPDATE.07~M
S8844702,YEMP_STOPDATE.07~Y
S8844801,YEMP_STOPDATE.08~M
S8844802,YEMP_STOPDATE.08~Y
S8844901,YEMP_STOPDATE.09~M
S8844902,YEMP_STOPDATE.09~Y
S8862201,YEMP_STARTDATE.01~M
S8862202,YEMP_STARTDATE.01~Y
S8862301,YEMP_STARTDATE.02~M
S8862302,YEMP_STARTDATE.02~Y
S8862401,YEMP_STARTDATE.03~M
S8862402,YEMP_STARTDATE.03~Y
S8862501,YEMP_STARTDATE.04~M
S8862502,YEMP_STARTDATE.04~Y
S8862601,YEMP_STARTDATE.05~M
S8862602,YEMP_STARTDATE.05~Y
S8862701,YEMP_STARTDATE.06~M
S8862702,YEMP_STARTDATE.06~Y
S8862801,YEMP_STARTDATE.07~M
S8862802,YEMP_STARTDATE.07~Y
S8862901,YEMP_STARTDATE.08~M
S8862902,YEMP_STARTDATE.08~Y
S8863001,YEMP_STARTDATE.09~M
S8863002,YEMP_STARTDATE.09~Y
T0008500,CV_AGE_INT_DATE
T0014100,CV_INCOME_FAMILY
T0022800,CV_HRLY_PAY.01
T0022900,CV_HRLY_PAY.02
T0023000,CV_HRLY_PAY.03
T0023100,CV_HRLY_PAY.04
T0023200,CV_HRLY_PAY.05
T0023300,CV_HRLY_PAY.06
T0023400,CV_HRLY_PAY.07
T0023500,CV_HRLY_PAY.08
T0033700,CV_URBAN-RURAL
