R0000100,PUBID,PUBID_R0000100
R5453700,CV_AGE_INT_DATE,CV_AGE_INT_DATE_R5453700
R5464001,HIGHEST-GRADE_0001,HIGHEST-GRADE_0001_R5464001
R5464100,CV_INCOME_GROSS_YR,CV_INCOME_GROSS_YR_R5464100
R5471000,CV_HRLY_PAY.01,CV_HRLY_PAY.01_R5471000
R5471100,CV_HRLY_PAY.02,CV_HRLY_PAY.02_R5471100
R5471200,CV_HRLY_PAY.03,CV_HRLY_PAY.03_R5471200
R5471300,CV_HRLY_PAY.04,CV_HRLY_PAY.04_R5471300
R5471400,CV_HRLY_PAY.05,CV_HRLY_PAY.05_R5471400
R5471500,CV_HRLY_PAY.06,CV_HRLY_PAY.06_R5471500
R5471600,CV_HRLY_PAY.07,CV_HRLY_PAY.07_R5471600
R5471700,CV_HRLY_PAY.08,CV_HRLY_PAY.08_R5471700
R5471800,CV_HRLY_PAY.09,CV_HRLY_PAY.09_R5471800
R5484100,CV_URBAN-RURAL,CV_URBAN-RURAL_R5484100
R6132100,COW_YEMP-58500.01,COW_YEMP-58500.01_R6132100
R6132200,COW_YEMP-58500.02,COW_YEMP-58500.02_R6132200
R6132300,COW_YEMP-58500.03,COW_YEMP-58500.03_R6132300
R6132400,COW_YEMP-58500.04,COW_YEMP-58500.04_R6132400
R6132500,COW_YEMP-58500.05,COW_YEMP-58500.05_R6132500
R6132600,COW_YEMP-58500.06,COW_YEMP-58500.06_R6132600
R6132700,COW_YEMP-58500.07,COW_YEMP-58500.07_R6132700
R6395500,UNION_YEMP-101100.01,UNION_YEMP-101100.01_R6395500
R6395600,UNION_YEMP-101100.02,UNION_YEMP-101100.02_R6395600
R6395700,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R6395700
R6395800,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R6395800
R6395900,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R6395900
R6396000,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R6396000
R6396100,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R6396100
R6401500,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R6401500
R6401600,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R6401600
R6401700,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R6401700
R6401800,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R6401800
R6401900,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R6401900
R6402000,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R6402000
R6402100,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R6402100
R7051101,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R7051101
R7051102,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R7051102
R7051201,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R7051201
R7051202,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R7051202
R7051301,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R7051301
R7051302,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R7051302
R7051401,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R7051401
R7051402,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R7051402
R7051501,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R7051501
