"","id","male","job_number","year","urban","highest_grade","family_income","employer_id","hourly_pay","hours_worked","job_satisfaction","union","cohort","tenure","avg_age_job_year","white","religious","personality_2","personality_4","personality_6","personality_8","personality_10","personality_1","personality_3","personality_5","personality_7","personality_9"
"108","287 _97","1",1,1999,"1",12,11.8231197258339,199903,2.60688826646206,40,0.75,1,"1997",0.419178082191781,18.7904109589041,"1","1",5,6,3,2,3,5,5,5,6,5
"109","290 _97","0",1,2010,"1",12,11.0012828408837,200502,2.47653840011748,20,1,0,"1997",1,25.5,"1","1",1,3,1,3,2,6,6,7,7,6
"110","294 _97","1",1,2010,"1",18,11.6228286470775,201002,2.38047163165112,40,1,1,"1997",0.334246575342466,27.8328767123288,"0","1",2,1,1,2,2,7,7,7,7,6
"111","295 _97","0",1,2017,"1",12,11.3302158328848,201703,2.97654945413722,40,1,1,"1997",2.0027397260274,31.9986301369863,"0","1",3,7,6,5,4,5,6,6,3,3
"112","295 _97","0",3,2017,"1",12,11.3302158328848,201704,2.37954613413017,7,0.75,0,"1997",1.83835616438356,32.0808219178082,"0","1",3,7,6,5,4,5,6,6,3,3
"113","300 _97","0",1,2006,"1",16,11.208872653551,200602,2.69730602190147,60,0.25,0,"1997",0.336986301369863,21.8315068493151,"1","1",5,6,2,2,3,7,7,5,7,4
"114","300 _97","0",2,2006,"1",16,11.208872653551,200601,2.397531570303,25,0.75,0,"1997",0.328767123287671,21.8356164383562,"1","1",5,6,2,2,3,7,7,5,7,4
"115","300 _97","0",1,2007,NA,16,11.2275540542157,200501,2.91287226768684,25,1,0,"1997",0.580821917808219,22.7095890410959,"1","1",5,6,2,2,3,7,7,5,7,4
"116","301 _97","0",1,2005,"1",16,10.1310612761297,200502,3.32579832000069,40,1,1,"1997",0.334246575342466,22.8328767123288,"1","1",5,5,2,1,1,7,7,5,6,4
"117","301 _97","0",1,2008,"1",19,10.7099857395825,200802,3.56404159158385,40,1,1,"1997",0.580821917808219,26.7095890410959,"1","1",5,5,2,1,1,7,7,5,6,4
"118","301 _97","0",2,2008,"1",19,10.7099857395825,200803,3.40518940293169,5,0.5,0,"1997",NA,NA,"1","1",5,5,2,1,1,7,7,5,6,4
"119","307 _97","0",1,2003,"1",17,10.1658902778025,200303,3.4490982616467,32,0.75,1,"1997",0.249315068493151,22.8753424657534,"1","1",7,7,4,1,4,4,7,6,6,5
"120","311 _97","1",4,2009,"1",16,10.6652508669597,200904,3.82428409112014,13,1,0,"1997",0.504109589041096,26.7479452054795,"1","1",7,1,3,1,1,6,7,5,7,6
"121","311 _97","1",3,2009,"1",16,10.6652508669597,200602,NA,15,1,0,"1997",1,26.5,"1","1",7,1,3,1,1,6,7,5,7,6
"122","312 _97","0",1,2008,"1",16,10.6320260079163,200802,2.94021956362373,35,0.5,1,"1997",0.835616438356164,25.5821917808219,"1","1",5,4,2,2,1,6,7,6,6,5
"123","317 _97","0",2,1998,NA,11,NA,9801,2.24627925678295,20,0.75,0,"1997",0.252054794520548,17.8739726027397,"0","1",4,1,6,2,1,5,7,4,6,6
"124","322 _97","0",2,2011,"1",19,9.98049488889691,201102,2.73413371585823,15,1,0,"1997",0.243835616438356,28.8780821917808,"1","1",5,7,6,2,1,5,7,6,7,5
"125","322 _97","0",1,2013,"1",19,10.8885764702806,201302,3.30484799540314,40,0.25,1,"1997",1.75342465753425,30.1232876712329,"1","1",5,7,6,2,1,5,7,6,7,5
"126","329 _97","1",1,2000,"1",10,NA,200002,2.20276475771183,35,0.25,0,"1997",0.336986301369863,15.8315068493151,"1","1",3,3,4,4,3,4,4,5,5,5
"127","331 _97","0",1,2000,"1",13,10.2399955028053,200002,3.02529107579554,35,1,1,"1997",0.753424657534247,19.6232876712329,"1","1",3,7,4,2,1,6,7,7,7,5
"128","333 _97","0",1,2013,"1",13,10.7066431803652,201302,3.03676864509385,40,1,0,"1997",1.41917808219178,30.2904109589041,"1","1",2,7,1,1,4,7,7,4,7,1
"129","334 _97","0",1,2005,"1",15,NA,200502,2.97552956623647,10,1,0,"1997",0.334246575342466,20.8328767123288,"1","1",6,3,1,1,1,5,6,5,7,4
"130","334 _97","0",2,2006,"1",16,12.8540024307246,200101,2.85431270808046,45,0.75,0,"1997",0.336986301369863,21.8315068493151,"1","1",6,3,1,1,1,5,6,5,7,4
"131","336 _97","1",1,2001,"1",13,NA,200103,2.07348634464116,20,1,0,"1997",0.336986301369863,18.8315068493151,"0","1",1,3,7,3,1,4,5,7,7,7
"132","336 _97","1",1,2005,"1",17,12.4035331939794,200502,2.83005542188811,35,1,0,"1997",0.747945205479452,22.6260273972603,"0","1",1,3,7,3,1,4,5,7,7,7
"133","336 _97","1",1,2007,"1",19,12.3377629694272,200701,3.52996285196629,36,1,1,"1997",1,24.5,"0","1",1,3,7,3,1,4,5,7,7,7
